sku,csv_filename,real_filename,real_url,status
"pont-bumper-brooklands-chassis-numbers-57006-60307-canada-p14583","bumper_front_57001_1.jpg","1514551208-53597000.jpg","https://www.introcar.com/media/lookbookslider/1514551208-53597000.jpg","downloaded"
"pront-bumper-brooklands-chassis-numbers-57006-60307-japan-p14635","bumper_front_57001_2.jpg","1514551208-53597000.jpg","https://www.introcar.com/media/lookbookslider/1514551208-53597000.jpg","downloaded"
"pumper-brooklands-chassis-numbers-57006-60307-middle-east-p14603","bumper_front_57001_3.jpg","1514551208-53597000.jpg","https://www.introcar.com/media/lookbookslider/1514551208-53597000.jpg","downloaded"
"pfront-bumper-brooklands-chassis-numbers-57006-60307-usa-p14590","bumper_front_57001_4.jpg","1514551208-53597000.jpg","https://www.introcar.com/media/lookbookslider/1514551208-53597000.jpg","downloaded"
"pfront-bumper-brooklands-r-chassis-numbers-66003-on-p14681","bumper_front_66006_turbo.jpg","1516730565-45488800.jpg","https://www.introcar.com/media/lookbookslider/1516730565-45488800.jpg","downloaded"
"pront-bumper-brooklands-r-chassis-numbers-66003-on-canada-p14685","bumper_front_66006_turbo_1.jpg","1516730565-45488800.jpg","https://www.introcar.com/media/lookbookslider/1516730565-45488800.jpg","downloaded"
"pfront-bumper-brooklands-r-chassis-numbers-66003-on-japan-p14686","bumper_front_66006_turbo_2.jpg","1516730565-45488800.jpg","https://www.introcar.com/media/lookbookslider/1516730565-45488800.jpg","downloaded"
"pbumper-brooklands-r-chassis-numbers-66003-on-middle-east-p14689","bumper_front_66006_turbo_3.jpg","1516730565-45488800.jpg","https://www.introcar.com/media/lookbookslider/1516730565-45488800.jpg","downloaded"
"pfront-bumper-brooklands-r-chassis-numbers-66003-on-usa-p14683","bumper_front_66006_turbo_4.jpg","1516730565-45488800.jpg","https://www.introcar.com/media/lookbookslider/1516730565-45488800.jpg","downloaded"
"pfront-bumper-camargue-chassis-numbers-14674-usa","camargue_front_bumper_usa_14674.jpg","Camargue Front Bumper USA 14674.jpg","https://www.introcar.com/media/lookbookslider/Camargue Front Bumper USA 14674.jpg","downloaded"
"pfront-bumper-camargue-chassis-numbers-14674-other-than-usa","camargue_front_bumper_uk_14674.jpg","Camargue Front Bumper UK 14674.jpg","https://www.introcar.com/media/lookbookslider/Camargue Front Bumper UK 14674.jpg","downloaded"
"pfront-bumper-camargue-chassis-numbers-50001-usa","camargue_front_bumper_usa_50001.jpg","Camargue Front Bumper USA 50001.jpg","https://www.introcar.com/media/lookbookslider/Camargue Front Bumper USA 50001.jpg","downloaded"
"pfront-bumper-camargue-chassis-numbers-50001-other-than-usa","camargue_front_bumper_uk_50001.jpg","Camargue Front Bumper UK 50001.jpg","https://www.introcar.com/media/lookbookslider/Camargue Front Bumper UK 50001.jpg","downloaded"
"pbers-12013-13919-other-than-usa-canada-japan-middle-east-p14488","bumper_front_12001.jpg","1514398616-95801000.jpg","https://www.introcar.com/media/lookbookslider/1514398616-95801000.jpg","downloaded"
"p-bumper-bentley-eight-chassis-numbers-14306-24497-canada-p14548","bumper_front_14121_canada.jpg","1514970521-62529000.jpg","https://www.introcar.com/media/lookbookslider/1514970521-62529000.jpg","downloaded"
"per-bentley-eight-chassis-numbers-14306-24497-middle-east-p14554","bumper_front_14121_middle_east.jpg","1514971761-79768400.jpg","https://www.introcar.com/media/lookbookslider/1514971761-79768400.jpg","downloaded"
"pbers-13920-24497-other-than-usa-canada-japan-middle-east-p14498","bumper_front_20003.jpg","1514479199-29979200.jpg","https://www.introcar.com/media/lookbookslider/1514479199-29979200.jpg","downloaded"
"pont-bumper-bentley-eight-chassis-numbers-20006-27799-usa-p14542","bumper_front_13983_usa.jpg","1514967873-41875000.jpg","https://www.introcar.com/media/lookbookslider/1514967873-41875000.jpg","downloaded"
"per-bentley-eight-chassis-numbers-24513-27799-middle-east-p14566","bumper_front_24514_middle_east.jpg","1514972790-05366200.jpg","https://www.introcar.com/media/lookbookslider/1514972790-05366200.jpg","downloaded"
"p-bumper-bentley-eight-chassis-numbers-24513-44562-canada-p14563","bumper_front_24514_canada.jpg","1515058882-90472100.jpg","https://www.introcar.com/media/lookbookslider/1515058882-90472100.jpg","downloaded"
"pt-bumper-bentley-eight-chassis-numbers-24513-44562-japan-p14627","bumper_front_24514_japan.jpg","1515400846-42088300.jpg","https://www.introcar.com/media/lookbookslider/1515400846-42088300.jpg","downloaded"
"pbers-24513-44562-other-than-usa-canada-japan-middle-east-p14502","bumper_front_24514.jpg","1514479888-82572700.jpg","https://www.introcar.com/media/lookbookslider/1514479888-82572700.jpg","downloaded"
"pont-bumper-bentley-eight-chassis-numbers-31008-44562-usa-p14586","bumper_front_31001_usa.jpg","1515401186-15200700.jpg","https://www.introcar.com/media/lookbookslider/1515401186-15200700.jpg","downloaded"
"prear-bumper-camargue-chassis-numbers-14674-usa","camargue_rear_bumper_us_14674.jpg","Camargue Rear Bumper US 14674.jpg","https://www.introcar.com/media/lookbookslider/Camargue Rear Bumper US 14674.jpg","downloaded"
"prear-bumper-camargue-chassis-numbers-14674-other-than-usa","camargue_rear_bumper_uk_14674.jpg","Camargue Rear Bumper uk 14674.jpg","https://www.introcar.com/media/lookbookslider/Camargue Rear Bumper uk 14674.jpg","downloaded"
"prear-bumper-camargue-chassis-numbers-50001-usa","camargue_rear_bumper_us_50001.jpg","Camargue Rear Bumper US 50001.jpg","https://www.introcar.com/media/lookbookslider/Camargue Rear Bumper US 50001.jpg","downloaded"
"prear-bumper-camargue-chassis-numbers-50001-other-than-usa","camargue_rear_bumper_uk_50001.jpg","Camargue Rear Bumper uk 50001 (1).jpg","https://www.introcar.com/media/lookbookslider/Camargue Rear Bumper uk 50001 (1).jpg","downloaded"
"palipers-front-azure-mulliner-chassis-numbers-62566-62664-p11632","front_caliper_azure_mulliner_62566.jpg","1486457972-92930800.jpg","https://www.introcar.com/media/lookbookslider/1486457972-92930800.jpg","downloaded"
"plipers-front-azure-final-series-chassis-numbers-01171-on-p11634","front_caliper_continental_r_01864.jpg","1486459969-19007700.jpg","https://www.introcar.com/media/lookbookslider/1486459969-19007700.jpg","downloaded"
