SKU,Parent SKU,File
RF7635-X,RF7635,/Users/annikaimpallomeni/Desktop/ProcessedVideos/RF7635_processed.mp4
RF8257-X,RF8257,/Users/annikaimpallomeni/Desktop/ProcessedVideos/RF8257_processed.mp4
RG3212A-X,RG3212A,/Users/annikaimpallomeni/Desktop/ProcessedVideos/RG3212A_processed.mp4
RG5085-X,RG5085,/Users/annikaimpallomeni/Desktop/ProcessedVideos/RG5085_processed.mp4
RG6018-X,RG6018,/Users/annikaimpallomeni/Desktop/ProcessedVideos/RG6018_processed.mp4
RG6547-X,RG6547,/Users/annikaimpallomeni/Desktop/ProcessedVideos/RG6547_processed.mp4
RG6768-X,RG6768,/Users/annikaimpallomeni/Desktop/ProcessedVideos/RG6768_processed.mp4
RG8484-X,RG8484,/Users/annikaimpallomeni/Desktop/ProcessedVideos/RG8484_processed.mp4
RH10166-X,RH10166,/Users/annikaimpallomeni/Desktop/ProcessedVideos/RH10166_processed.mp4
RH10175CTR-X,RH10175CTR,/Users/annikaimpallomeni/Desktop/ProcessedVideos/RH10175CTR_processed.mp4
RH10176-X,RH10176,/Users/annikaimpallomeni/Desktop/ProcessedVideos/RH10176_processed.mp4
RH12050-X,RH12050,/Users/annikaimpallomeni/Desktop/ProcessedVideos/RH12050_processed.mp4
RH13115NF-X,RH13115NF,/Users/annikaimpallomeni/Desktop/ProcessedVideos/RH13115NF_processed.mp4
RH13183-X,RH13183,/Users/annikaimpallomeni/Desktop/ProcessedVideos/RH13183_processed.mp4
RH13495-X,RH13495,/Users/annikaimpallomeni/Desktop/ProcessedVideos/RH13495_processed.mp4
RH13521-X,RH13521,/Users/annikaimpallomeni/Desktop/ProcessedVideos/RH13521_processed.mp4
RH14073GMF-X,RH14073GMF,/Users/annikaimpallomeni/Desktop/ProcessedVideos/RH14073GMF_processed.mp4
RH2082-X,RH2082,/Users/annikaimpallomeni/Desktop/ProcessedVideos/RH2082_processed.mp4
RH2084-X,RH2084,/Users/annikaimpallomeni/Desktop/ProcessedVideos/RH2084_processed.mp4
RH2088-X,RH2088,/Users/annikaimpallomeni/Desktop/ProcessedVideos/RH2088_processed.mp4
RH2089-X,RH2089,/Users/annikaimpallomeni/Desktop/ProcessedVideos/RH2089_processed.mp4
RH2453-X,RH2453,/Users/annikaimpallomeni/Desktop/ProcessedVideos/RH2453_processed.mp4
RH2641-X,RH2641,/Users/annikaimpallomeni/Desktop/ProcessedVideos/RH2641_processed.mp4
RH2644NF-X,RH2644NF,/Users/annikaimpallomeni/Desktop/ProcessedVideos/RH2644NF_processed.mp4
RH2651-X,RH2651,/Users/annikaimpallomeni/Desktop/ProcessedVideos/RH2651_processed.mp4
RH2818-X,RH2818,/Users/annikaimpallomeni/Desktop/ProcessedVideos/RH2818_processed.mp4
RH3377-X,RH3377,/Users/annikaimpallomeni/Desktop/ProcessedVideos/RH3377_processed.mp4
RH3427-X,RH3427,/Users/annikaimpallomeni/Desktop/ProcessedVideos/RH3427_processed.mp4
RH7489-X,RH7489,/Users/annikaimpallomeni/Desktop/ProcessedVideos/RH7489_processed.mp4
RH7978-X,RH7978,/Users/annikaimpallomeni/Desktop/ProcessedVideos/RH7978_processed.mp4
SPC1889-X,SPC1889,/Users/annikaimpallomeni/Desktop/ProcessedVideos/SPC1889_processed.mp4
SPC2374-X,SPC2374,/Users/annikaimpallomeni/Desktop/ProcessedVideos/SPC2374_processed.mp4
SPC2917-X,SPC2917,/Users/annikaimpallomeni/Desktop/ProcessedVideos/SPC2917_processed.mp4
SPC3405-X,SPC3405,/Users/annikaimpallomeni/Desktop/ProcessedVideos/SPC3405_processed.mp4
SPM1286-X,SPM1286,/Users/annikaimpallomeni/Desktop/ProcessedVideos/SPM1286_processed.mp4
SSHYDHSKT2-X,SSHYDHSKT2,/Users/annikaimpallomeni/Desktop/ProcessedVideos/SSHYDHSKT2_processed.mp4
SSHYDHSKT4-X,SSHYDHSKT4,/Users/annikaimpallomeni/Desktop/ProcessedVideos/SSHYDHSKT4_processed.mp4
UB10625-X,UB10625,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UB10625_processed.mp4
UB10677-X,UB10677,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UB10677_processed.mp4
UB1206-X,UB1206,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UB1206_processed.mp4
UB12378-X,UB12378,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UB12378_processed.mp4
UB12856-X,UB12856,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UB12856_processed.mp4
UB13673-X,UB13673,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UB13673_processed.mp4
UB15695-X,UB15695,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UB15695_processed.mp4
UB17748-X,UB17748,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UB17748_processed.mp4
UB2223-X,UB2223,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UB2223_processed.mp4
UB2224-X,UB2224,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UB2224_processed.mp4
UB2460-X,UB2460,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UB2460_processed.mp4
UB30300-X,UB30300,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UB30300_processed.mp4
UB39293-X,UB39293,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UB39293_processed.mp4
UB72648-X,UB72648,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UB72648_processed.mp4
UB72649-X,UB72649,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UB72649_processed.mp4
UB77773-X,UB77773,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UB77773_processed.mp4
UD1233-X,UD1233,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UD1233_processed.mp4
UD12956-X,UD12956,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UD12956_processed.mp4
UD13955-X,UD13955,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UD13955_processed.mp4
UD1455-X,UD1455,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UD1455_processed.mp4
UD1614-X,UD1614,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UD1614_processed.mp4
UD18802-X,UD18802,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UD18802_processed.mp4
UD19949-X,UD19949,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UD19949_processed.mp4
UD19950-X,UD19950,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UD19950_processed.mp4
UD19951-X,UD19951,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UD19951_processed.mp4
UD2161-X,UD2161,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UD2161_processed.mp4
UD22205-X,UD22205,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UD22205_processed.mp4
UD24086-X,UD24086,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UD24086_processed.mp4
UD4020-X,UD4020,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UD4020_processed.mp4
UD71409-X,UD71409,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UD71409_processed.mp4
UD72739-X,UD72739,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UD72739_processed.mp4
UD8005-X,UD8005,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UD8005_processed.mp4
UE1050-X,UE1050,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UE1050_processed.mp4
UE2468-X,UE2468,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UE2468_processed.mp4
UE32391BR-X,UE32391BR,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UE32391BR_processed.mp4
UE3287-X,UE3287,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UE3287_processed.mp4
