"Stock Code","Stock Description","Qty Sold","Net","Tax","Gross","COS","Profit","Margin %"
"UR73359-X","ROAD SPRING FRONT","48","£6030.87","£559.92","£6590.79","£4504.15","£1526.72","25.32"
"GMF1199-X","BRKPUMP FEED FRONT HOSE","187","£5928.61","£661.24","£6589.85","£2690.93","£3237.68","54.61"
"8616079-A","INJECTOR","29","£6554.15","£0.00","£6554.15","£5961.59","£592.56","9.04"
"UE73942-X","JOINT RAM PIPE","919","£6330.35","£203.97","£6534.32","£2451.86","£3878.49","61.27"
"UR18082SX-R","HEIGHT CONTROL VALVE ASSEMBLY (RIGHT HAND)","25","£6073.02","£419.24","£6492.26","£4821.13","£1251.89","20.61"
"UV32092PA-X","REMOTE ALARM CONTINENTAL 433 MHZ","22","£6275.82","£215.48","£6491.30","£3933.39","£2342.43","37.32"
"07V109151-X","ROCKER COVER BONDED ISOLATOR","984","£6189.98","£297.87","£6487.85","£2247.07","£3942.91","63.70"
"3Z0698151E-X","FRONT BRK PADS NON VENTED SOLID ROTORS","70","£6229.60","£253.26","£6482.86","£2328.25","£3901.35","62.63"
"3W0407694-X","LOWER SUSPENSION LEVER ARM (FRONT RIGHT REAR)","48","£5683.16","£792.25","£6475.41","£2162.52","£3520.64","61.95"
"UV32003PA-SU","ALTERNATOR-140 AMP Surcharge","22","£5500.00","£950.00","£6450.00","£5500.00","£0.00","0"
"UR1173-X","SILENTBLOCK BUSH","106","£6368.26","£57.06","£6425.32","£672.58","£5695.68","89.44"
"FB3143-X","SILENTBLOC BUSH","130","£5870.48","£500.52","£6371.00","£2650.96","£3219.52","54.84"
"CD1203-X","FRONT WHEEL CYLINDER SERVICE KIT","362","£5698.75","£664.08","£6362.83","£1343.72","£4355.03","76.42"
"PF57594PA-X","AIR CLEANER ELEMENT L675","318","£6019.99","£315.84","£6335.83","£2957.40","£3062.59","50.87"
"PC24943PC-X","REAR BRK ROTOR","47","£5554.89","£744.78","£6299.67","£7.75","£5547.14","99.86"
"RG5365-X","HALF SHAFT C SERIES > ROLLER","17","£5454.69","£814.19","£6268.88","£2434.31","£3020.38","55.37"
"GMF1080-X","BRK PIPE ADAPTER HOSE","311","£5747.79","£489.92","£6237.71","£3868.84","£1878.95","32.69"
"RH3074-X","FAN CONTROL SWITCH CONVERSION KIT","37","£5360.05","£865.28","£6225.33","£1574.75","£3785.30","70.62"
"RG3117ASX-R","GEARBOX ASSEMBLY (MANUAL)","1","£6217.75","£0.00","£6217.75","£2650.00","£3567.75","57.38"
